"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"166791020";"Земельный участок";"27:17:0329001";10069000;"Договор купли-продажи";"10.2005";"02.2006";804219,00;0,08;;"Земли сельскохозяйственного назначения";"Для сельскохозяйственного производства";;;"Ипотека";;;"08255000000";"Хабаровский край";"Хабаровский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6435664526
"656856020";"Земельный участок";"27:23:0051521";600;"Договор купли-продажи";"07.2012";"07.2012";845100,00;1408,50;"1/3";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"08401365000";"Хабаровский край";;"Хабаровск";;"Геофизическая";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6435664542
"414531020";"Земельный участок";"27:23:0051521";898,8;"Договор купли-продажи";"06.2012";"07.2012";380000,00;422,79;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"08401365000";"Хабаровский край";;"Хабаровск";;"Новоуссурийская";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6435664554
"3322005";"Земельный участок";"27:18:0000003";1000;"Договор купли-продажи";"04.2000";"04.2000";4500,00;4,50;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"08403000000";"Хабаровский край";;"Амурск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6435664581
"947006";"Земельный участок";"27:06:0020853";1200;"Договор купли-продажи";"09.2010";"09.2010";801000,00;667,50;"1/4";"Земли населенных пунктов";;;;"Без обременения";;;"08217501000";"Хабаровский край";"Вяземский";"Вяземский";;"Лесная";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6435664686
"468045020";"Земельный участок";"27:08:0010612";4759;"Договор купли-продажи";"08.2015";"08.2015";654026,00;137,43;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"08224000028";"Хабаровский край";"Имени Лазо";;"Георгиевка";"Лазо";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6435664768
"8002";"Земельный участок";"27:05:0601023";1163,2;"Договор купли-продажи";"03.2010";"03.2010";330178,75;283,85;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"08214551000";"Хабаровский край";"Верхнебуреинский";;"Чегдомын";"Лесная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6435664801
"7417004";"Земельный участок";"27:22:0051204";1000;"Договор купли-продажи";"05.2008";"05.2008";607,05;0,61;;"Земли населенных пунктов";;;;"Без обременения";;;"08409000000";"Хабаровский край";;"Комсомольск-на-Амуре";;"Александровский";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6435664814
"583202020";"Земельный участок";"27:23:0040626";686,3;"Договор купли-продажи";"09.2011";"09.2011";1826500,00;2661,37;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"08401363000";"Хабаровский край";;"Хабаровск";;"Нестерова";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6435664823
"13780020";"Земельный участок";"27:09:0000104";1304,2;"Договор купли-продажи";"08.2014";"08.2014";10000,00;7,67;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"08228000001";"Хабаровский край";"Нанайский";;"Троицкое";"Первомайская";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6435664892
