"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"6063006";"Земельный участок";"27:06:0020853";1200;"Договор купли-продажи";"07.2014";"08.2014";591,50;0,49;"1/12";"Земли населенных пунктов";;;;"Ипотека";;;"08217501000";"Хабаровский край";"Вяземский";"Вяземский";;"Матросова";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6436030009
"143994020";"Земельный участок";"27:08:0010312";1510;"Договор купли-продажи";"08.2014";"08.2014";650000,00;430,46;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"08224557000";"Хабаровский край";"Имени Лазо";;"Хор";"Мостовой";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6436030015
"40846003";"Земельный участок";"27:14:0010502";1244;"Договор купли-продажи";"07.2014";"07.2014";1530000,00;1229,90;;"Земли населенных пунктов";;;;"Ипотека";;;"08244000005";"Хабаровский край";"Солнечный";;"Горин";"Высоцкого";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6436030027
"8543006";"Земельный участок";"27:06:0020815";1050;"Договор купли-продажи";"09.2012";"09.2012";390000,00;371,43;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"08217501000";"Хабаровский край";"Вяземский";"Вяземский";;"Кошевого";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6436030138
"4856002";"Земельный участок";"27:05:0601063";1121,8;"Договор купли-продажи";"05.2008";"05.2008";750000,00;668,57;;"Земли населенных пунктов";;;;"Ипотека";;;"08214551000";"Хабаровский край";"Верхнебуреинский";;"Чегдомын";"Советская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6436030153
"635989020";"Земельный участок";"27:23:0050301";5881;"Договор купли-продажи";"07.2015";"07.2015";6000000,00;1020,23;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"08401365000";"Хабаровский край";;"Хабаровск";;"Шевчука";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6436030156
"490121020";"Земельный участок";"27:23:0010132";600;"Договор купли-продажи";"06.2015";"06.2015";1045629,95;1742,72;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"08401371000";"Хабаровский край";;"Хабаровск";;"Гуртова";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6436030177
"4856002";"Земельный участок";"27:05:0601063";1121,8;"Договор купли-продажи";"05.2008";"05.2008";750000,00;668,57;;"Земли населенных пунктов";;;;"Ипотека";;;"08214551000";"Хабаровский край";"Верхнебуреинский";;"Чегдомын";"Советская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6436030257
"172312020";"Земельный участок";"27:23:0040510";595;"Договор купли-продажи";"10.2014";"10.2014";1000000,00;1680,67;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"08401363000";"Хабаровский край";;"Хабаровск";;"Овражная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6436031319
"65026009";"Земельный участок";"27:21:0110056";1155;"Договор купли-продажи";"12.2009";"12.2009";480000,00;415,58;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"08418000000";"Хабаровский край";;"Советская Гавань";;"Дачная 2-я";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6436031347
"2586002";"Земельный участок";"27:05:0603003";714;"Договор купли-продажи";"04.2000";"04.2000";4800,00;6,72;;"Земли населенных пунктов";;;;"Без обременения";;;"08214551000";"Хабаровский край";"Верхнебуреинский";;"Чегдомын";;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6436031378
"1524020";"Земельный участок";"27:08:0010208";600;"Договор купли-продажи";"11.2014";"11.2014";1620000,00;2700,00;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"08224000038";"Хабаровский край";"Имени Лазо";;"Гродеково";"Гагарина";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6436031475
"33747010";"Земельный участок";"27:16:0020101";1650;"Договор купли-продажи";"12.2013";"12.2013";1445000,00;875,76;;"Земли населенных пунктов";;;;"Ипотека";;;"08250000001";"Хабаровский край";"Ульчский";;"Богородское";"Кирова";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6436031476
"437977004";"Земельный участок";"27:22:0040503";5055,1;"Договор купли-продажи";"01.2013";"01.2013";3332000,00;659,14;;"Земли населенных пунктов";;;;"Без обременения";;;"08409000000";"Хабаровский край";;"Комсомольск-на-Амуре";;"Копылова";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6436031495
"461799020";"Земельный участок";"27:17:0302204";1500;"Договор купли-продажи";"06.2011";"07.2011";450000,00;300,00;;"Земли населенных пунктов";;;;"Ипотека";;;"08255000051";"Хабаровский край";"Хабаровский";;"Ракитное";"Яблочная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6436031525
"517174020";"Земельный участок";"27:17:0301706";892;"Договор купли-продажи";"09.2010";"10.2010";3137400,00;3517,26;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"08255000039";"Хабаровский край";"Хабаровский";;"Матвеевка";"Железнодорожная";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6436031546
"4484020";"Земельный участок";"27:08:0010359";2030;"Договор купли-продажи";"09.2011";"10.2011";365698,40;180,15;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"08224000030";"Хабаровский край";"Имени Лазо";;"Дрофа";"Набережная";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6436031586
"8763020";"Земельный участок";"27:17:0316702";600;"Договор купли-продажи";"08.2000";"08.2000";2000,00;3,33;"1/2";"Земли сельскохозяйственного назначения";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"08255000021";"Хабаровский край";"Хабаровский";;"Гаровка-2";;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6436031591
"14949004";"Земельный участок";"27:22:0050326";978,9;"Договор купли-продажи";"07.2001";"07.2001";5000,00;5,11;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"08409000000";"Хабаровский край";;"Комсомольск-на-Амуре";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6436031632
"451852020";"Земельный участок";"27:23:0010516";600,7;"Договор купли-продажи";"09.2008";"09.2008";2684700,00;4469,29;"1/5";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"08401371000";"Хабаровский край";;"Хабаровск";;"Полины Осипенко";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6436031751
"538678020";"Земельный участок";"27:08:0010318";2608;"Договор купли-продажи";"08.2012";"08.2012";1258600,00;482,59;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"08224557000";"Хабаровский край";"Имени Лазо";;"Хор";"Гоголя";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6436031826
"41565020";"Земельный участок";"27:23:0051106";600;"Договор купли-продажи";"06.2008";"06.2008";1200000,00;2000,00;;"Земли населенных пунктов";;;;"Ипотека";;;"08401365000";"Хабаровский край";;"Хабаровск";;"Фестивальный";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1998";"Не указан";"Не указан";"Сделка";6436031894
"872049020";"Земельный участок";"27:06:0020620";1400;"Договор купли-продажи";"02.2013";"03.2013";410000,00;292,86;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"08217000016";"Хабаровский край";"Вяземский";;"Отрадное";"Октябрьская";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6436031898
"474831020";"Земельный участок";"27:23:0040650";1000;"Договор купли-продажи";"02.2014";"02.2014";6090000,00;6090,00;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"08401363000";"Хабаровский край";;"Хабаровск";;"Садовая";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6436031979
