"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"60108806968180";"Земельный участок";"65:24:0000003";900;"Договор купли-продажи";"10.2014";"10.2014";8000000,00;8888,89;"1/2";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"64425000000";"Сахалинская область";"Охинский";"Оха";;"Пограничная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6444499569
"149565020";"Земельный участок";"65:05:0000031";1500;"Договор купли-продажи";"05.2011";"05.2011";4000000,00;2666,67;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"64208860001";"Сахалинская область";"Анивский";;"Троицкое";;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6444499598
"65322004";"Земельный участок";"65:03:0000011";1200;"Договор купли-продажи";"08.2015";"08.2015";1223000,00;1019,17;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"64216000000";"Сахалинская область";"Корсаковский";;;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6444499721
"321128020";"Земельный участок";"65:01:0304001";1447;"Договор купли-продажи";"12.2014";"12.2014";750000,00;518,31;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6444499755
"3313004";"Земельный участок";"65:03:0000002";1500;"Договор купли-продажи";"12.2001";"02.2002";500,00;0,33;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"64216000000";"Сахалинская область";"Корсаковский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6444499829
"21896009";"Земельный участок";"65:09:0000016";282;"Договор купли-продажи";"09.2014";"09.2014";10000000,00;35460,99;;"Земли населенных пунктов";;;;"Ипотека";;;"64440000000";"Сахалинская область";"Холмский";"Холмск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6444499889
"195756020";"Земельный участок";"65:01:0205006";759;"Договор купли-продажи";"07.2010";"08.2010";100000,00;131,75;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6444499967
"32349020";"Земельный участок";"65:05:0000012";240000;"Договор купли-продажи";"10.2008";"11.2008";7000000,00;29,17;;"Земли сельскохозяйственного назначения";"Для ведения крестьянского (фермерского) хозяйства";;;"Ипотека";;;"64208501000";"Сахалинская область";"Анивский";"Анива";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6444500019
"16594020";"Земельный участок";"65:01:0316005";4042;"Договор купли-продажи";"12.2012";"01.2013";11000000,00;2721,43;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Мира";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6444500098
"186584020";"Земельный участок";"65:01:0102003";450;"Договор купли-продажи";"11.2012";"11.2012";359191,01;798,20;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6444500176
