"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"30380020";"Земельный участок";"65:01:0310003";598;"Договор купли-продажи";"05.2016";"05.2016";630836,00;1054,91;"5/8";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Пролетарская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6472399312
"21887009";"Земельный участок";"65:09:0000016";338,15;"Договор купли-продажи";"04.2016";"05.2016";14080000,00;41638,33;;"Земли населенных пунктов";"Для размещения объектов торговли";;;"Ипотека";;;"64440000000";"Сахалинская область";"Холмский";"Холмск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6472399321
"30380020";"Земельный участок";"65:01:0310003";598;"Договор купли-продажи";"05.2016";"05.2016";630836,00;1054,91;"1/8";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Пролетарская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6472399324
"865172020";"Земельный участок";"65:01:0205006";629;"Договор купли-продажи";"02.2016";"03.2016";200000,00;317,97;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6472399327
"53700020";"Земельный участок";"65:01:0205001";997;"Договор купли-продажи";"07.2015";"07.2015";250000,00;250,75;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6472399338
"30380020";"Земельный участок";"65:01:0310003";598;"Договор купли-продажи";"05.2016";"05.2016";630836,00;1054,91;"1/8";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Пролетарская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6472399339
"193684020";"Земельный участок";"65:26:0000003";100000;"Договор купли-продажи";"05.2016";"05.2016";13400000,00;134,00;;"Земли сельскохозяйственного назначения";"Для ведения крестьянского (фермерского) хозяйства";;;"Ипотека";;;"64220000000";"Сахалинская область";"Курильский";;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6472515312
"30008020";"Земельный участок";"65:01:0503003";1056;"Договор купли-продажи";"05.2016";"05.2016";4700000,00;4450,76;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Боевой Славы";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6472515320
"178940020";"Земельный участок";"65:01:0205008";794;"Договор купли-продажи";"05.2016";"06.2016";1400000,00;1763,22;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6472623311
"1820020";"Земельный участок";"65:01:0315003";651;"Договор купли-продажи";"05.2016";"06.2016";4400000,00;6758,83;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6472623322
"1820020";"Земельный участок";"65:01:0315003";651;"Договор купли-продажи";"05.2016";"06.2016";4400000,00;6758,83;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6472623327
"1820020";"Земельный участок";"65:01:0315003";651;"Договор купли-продажи";"05.2016";"06.2016";4400000,00;6758,83;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6472623336
"1820020";"Земельный участок";"65:01:0315003";651;"Договор купли-продажи";"05.2016";"06.2016";4400000,00;6758,83;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6472623340
"1820020";"Земельный участок";"65:01:0315003";651;"Договор купли-продажи";"05.2016";"06.2016";4400000,00;6758,83;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6472623353
