"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"3010792132816";"Земельный участок";"65:10:0000012";1256;"Договор купли-продажи";"11.2000";"12.2000";57000,00;45,38;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"64212833001";"Сахалинская область";"Долинский";;"Стародубское";"Луговая";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6444420494
"531929020";"Земельный участок";"65:01:0204003";1887;"Договор купли-продажи";"07.2013";"04.2014";9600000,00;5087,44;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Холмская";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6444420595
"187835020";"Земельный участок";"65:25:0000016";39700;"Договор купли-продажи";"12.2009";"10.2010";50000000,00;1259,45;;"Земли населенных пунктов";;;;"Ипотека";;;"64256817001";"Сахалинская область";"Южно-Курильский";;"Малокурильское";"Советская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6444420731
"62581007";"Земельный участок";"65:18:0000033";2000;"Договор купли-продажи";"12.2014";"01.2015";180000,00;90,00;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"64246551000";"Сахалинская область";"Смирныховский";;"Смирных";"Парковая";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6444420750
"53667020";"Земельный участок";"65:01:0501002";1752;"Договор купли-продажи";"01.2012";"01.2012";5000000,00;2853,88;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6444420859
"331135020";"Земельный участок";"65:01:0304001";610;"Договор купли-продажи";"05.2013";"06.2013";1000000,00;1639,34;"1/2";"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6444420904
"1202020";"Земельный участок";"65:01:0000000";1463;"Договор купли-продажи";"11.2010";"11.2010";6000000,00;4101,16;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6444421134
"199412020";"Земельный участок";"65:01:0603002";575;"Договор купли-продажи";"08.2014";"09.2014";1000000,00;1739,13;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6444421265
"21348004";"Земельный участок";"65:04:0000025";600;"Договор купли-продажи";"08.2014";"08.2014";90000,00;150,00;"1/6";"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;"Байкальская";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6444421271
"584344020";"Земельный участок";"65:01:0310005";930;"Договор купли-продажи";"12.2014";"12.2014";100000,00;107,53;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6444421394
"818020";"Земельный участок";"65:01:0405002";1096;"Договор купли-продажи";"05.2011";"05.2011";1500000,00;1368,61;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";"Хомутово";"С.Разина";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6444421412
"59022004";"Земельный участок";"65:04:0000024";935;"Договор купли-продажи";"06.2015";"06.2015";400000,00;427,81;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;"Речная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6444421473
"980004";"Земельный участок";"65:04:0000005";600;"Договор купли-продажи";"12.1999";"02.2002";211000,00;351,67;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Без обременения";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6444421504
