"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"324099020";"Земельный участок";"65:01:0105001";660;"Договор купли-продажи";"06.2015";"07.2015";1300000,00;1969,70;"1/2";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Сентябрьская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6444451342
"139862020";"Земельный участок";"65:01:0503002";596;"Договор купли-продажи";"04.2014";"04.2014";2607000,00;4374,16;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Тенистая";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6444451407
"212074020";"Земельный участок";"65:01:0205008";1023;"Договор купли-продажи";"09.2013";"10.2013";50000,00;48,88;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6444451636
"24811007";"Земельный участок";"65:13:0000004";1684;"Договор купли-продажи";"01.2016";"02.2016";190000,00;112,83;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"64224501000";"Сахалинская область";"Макаровский";"Макаров";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6444451768
"55791020";"Земельный участок";"65:01:1001001";998;"Договор купли-продажи";"08.2011";"08.2011";4470000,00;4478,96;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";"Лиственничное";;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6444452084
"18066020";"Земельный участок";"65:01:0601005";597;"Договор купли-продажи";"12.2007";"12.2007";6700000,00;11222,78;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Дальневосточная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6444452152
"319206020";"Земельный участок";"65:02:0000015";1320;"Договор купли-продажи";"08.2015";"08.2015";1000000,00;757,58;"1/2";"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"64401000001";"Сахалинская область";;"Южно-Сахалинск";"Ключи";"Советская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6444452251
"44013004";"Земельный участок";"65:04:0000011";534;"Договор купли-продажи";"07.2012";"07.2012";200000,00;374,53;;"Земли населенных пунктов";;;;"Без обременения";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6444452351
"5606009";"Земельный участок";"65:09:0000040";386,89;"Договор купли-продажи";"12.2011";"12.2011";2300000,00;5944,84;;"Земли населенных пунктов";;;;"Ипотека";;;"64440000000";"Сахалинская область";"Холмский";"Холмск";;"Некрасова";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6444452366
"21778009";"Земельный участок";"65:09:0000023";829;"Договор купли-продажи";"03.2012";"04.2012";16000000,00;19300,36;;"Земли населенных пунктов";;;;"Ипотека";;;"64440000000";"Сахалинская область";"Холмский";"Холмск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6444452367
"159561020";"Земельный участок";"65:01:0201002";935;"Договор купли-продажи";"12.2009";"01.2010";1300000,00;1390,37;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Без обременения";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6444452466
"27214009";"Земельный участок";"65:09:0000007";1191;"Договор купли-продажи";"04.2010";"05.2010";50000,00;41,98;;"Земли населенных пунктов";;;;"Без обременения";;;"64440000000";"Сахалинская область";"Холмский";"Холмск";;"Набережная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6444452555
"48740020";"Земельный участок";"65:01:0201002";500;"Договор купли-продажи";"11.2014";"11.2014";1000000,00;2000,00;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Молодежная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6444452801
"13224020";"Земельный участок";"65:01:0503003";1000;"Договор купли-продажи";"10.2012";"11.2012";1000000,00;1000,00;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6444452833
"8372013";"Земельный участок";"65:22:0000019";1495;"Договор купли-продажи";"04.2009";"05.2009";50000,00;33,44;;"Земли населенных пунктов";;;;"Без обременения";;;"64232551000";"Сахалинская область";"Ногликский";;"Ноглики";;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6444452890
"1594004";"Земельный участок";"65:04:0000023";600;"Договор купли-продажи";"08.2008";"09.2008";1200000,00;2000,00;;"Земли населенных пунктов";;;;"Без обременения";;;"64415000000";"Сахалинская область";"Корсаковский";"Корсаков";;"Речная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6444452901
"317916020";"Земельный участок";"65:01:0503002";245;"Договор купли-продажи";"10.2012";"10.2012";126000000,00;514285,71;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Грушевая";;28;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6444452947
"1511020";"Земельный участок";"65:01:0202003";600;"Договор купли-продажи";"11.2000";"11.2000";82760,00;137,93;;"Земли населенных пунктов";;;;"Без обременения";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6444452962
"199328020";"Земельный участок";"65:01:0204005";615;"Договор купли-продажи";"12.2015";"01.2016";6230485,40;10130,87;"1/6";"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6444453005
"1466013";"Земельный участок";"65:22:0000014";910;"Договор купли-продажи";"06.2011";"06.2011";600000,00;659,34;"1/2";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"64232551000";"Сахалинская область";"Ногликский";;"Ноглики";"Н.Бошняка";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6444453015
"29014020";"Земельный участок";"65:01:0504002";570;"Договор купли-продажи";"12.2014";"12.2014";1100000,00;1929,82;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6444453152
