"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"80473011";"Земельный участок";"25:20:180101";3000;"Договор купли-продажи";"02.2013";"02.2013";2460,60;0,82;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"05248000007";"Приморский край";"Хасанский";;"Безверхово";"Янковского";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6452023327
"16197019";"Земельный участок";"25:22:120001";880;"Договор купли-продажи";"11.2012";"11.2012";1990000,00;2261,36;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"05253558000";"Приморский край";"Черниговский";;"Сибирцево";"Деповская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6452023349
"1100293001";"Земельный участок";"25:28:030003";570;"Договор купли-продажи";"05.2013";"07.2013";392500000,00;688596,49;"61/100";"Земли населенных пунктов";;;;"Ипотека";;;"05401367000";"Приморский край";;"Владивосток";;"Калинина";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6452023359
"214156001";"Земельный участок";"25:28:050017";600;"Договор купли-продажи";"07.2013";"07.2013";600000,00;1000,00;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"05401372000";"Приморский край";;"Владивосток";;"Четвертая";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6452023364
"32310006";"Земельный участок";"25:27:030106";1140,76;"Договор купли-продажи";"09.2009";"09.2009";4016800,00;3521,16;;"Земли населенных пунктов";;;;"Без обременения";;;"05405000000";"Приморский край";;"Артем";;"Крылова";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6452023428
"58031006";"Земельный участок";"25:27:030105";1005;"Договор купли-продажи";"09.2009";"09.2009";1355600,00;1348,86;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"05405000000";"Приморский край";;"Артем";;"Герцена";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6452023430
"166761001";"Земельный участок";"25:28:050059";1500;"Договор купли-продажи";"04.2007";"04.2007";5172940,00;3448,63;;"Земли населенных пунктов";;;;"Ипотека";;;"05401372000";"Приморский край";;"Владивосток";;"Короленко";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6452023437
"205593002";"Земельный участок";"25:05:140101";3000;"Договор купли-продажи";"08.2014";"09.2014";2000,00;0,67;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"05212000020";"Приморский край";"Кировский";;"Руновка";"Восточная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6452023444
"26184008";"Земельный участок";"25:36:040101";1450;"Договор купли-продажи";"12.2014";"12.2014";2500000,00;1724,14;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"05506000003";"Приморский край";;"Большой Камень";"Суходол";"Пионерская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6452023494
"29275004";"Земельный участок";"25:32:010302";1200;"Договор купли-продажи";"08.2011";"08.2011";600000,00;500,00;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"05420000000";"Приморский край";;"Спасск-Дальний";;"Льва Толстого";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6452023539
