"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"55992011";"Земельный участок";"25:20:210102";3000;"Договор купли-продажи";"09.2012";"09.2012";1500000,00;500,00;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"05248551000";"Приморский край";"Хасанский";;"Славянка";;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6454212765
"33873006";"Земельный участок";"25:27:030204";1200;"Договор купли-продажи";"09.2014";"09.2014";2100000,00;1750,00;;"Земли населенных пунктов";;;;"Ипотека";;;"05405000000";"Приморский край";;"Артем";;"Красина";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6454212836
"16234019";"Земельный участок";"25:22:120002";1500;"Договор купли-продажи";"10.2007";"10.2007";300000,00;200,00;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"05253558000";"Приморский край";"Черниговский";;"Сибирцево";"Шевченко";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6454212839
"54525006";"Земельный участок";"25:27:030201";997;"Договор купли-продажи";"11.2007";"12.2007";999000,00;1002,01;;"Земли населенных пунктов";;;;"Без обременения";;;"05405000000";"Приморский край";;"Артем";;"Зеленый";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6454212918
"587775001";"Земельный участок";"25:28:050054";1159;"Договор купли-продажи";"04.2014";"05.2014";3000000,00;2588,44;;"Земли населенных пунктов";;;;"Ипотека";;;"05401372000";"Приморский край";;"Владивосток";;"Лесная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6454212951
"260540012";"Земельный участок";"25:34:016501";859;"Договор купли-продажи";"09.2014";"09.2014";2177093,00;2534,45;;"Земли населенных пунктов";;;;"Ипотека";;;"05423000000";"Приморский край";;"Уссурийск";;"Тургенева";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6454212955
"18079011";"Земельный участок";"25:20:210103";1500;"Договор купли-продажи";"03.2007";"03.2007";664,00;0,44;;"Земли населенных пунктов";;;;"Без обременения";;;"05248551000";"Приморский край";"Хасанский";;"Славянка";"Туманная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6454212991
"50183018";"Земельный участок";"25:31:010402";600;"Договор купли-продажи";"01.2008";"01.2008";2470000,00;4116,67;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"05414000000";"Приморский край";;"Находка";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6454213067
"84699006";"Земельный участок";"25:27:030201";659;"Договор купли-продажи";"11.2009";"12.2009";200000,00;303,49;;"Земли населенных пунктов";;;;"Без обременения";;;"05405000000";"Приморский край";;"Артем";;"Советская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6454213283
"84840012";"Земельный участок";"25:11:180101";3870;"Договор купли-продажи";"07.2009";"07.2009";1717200,00;443,72;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"05226000019";"Приморский край";"Октябрьский";;"Струговка";"Советов";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6454213370
