"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"8269004";"Земельный участок";"28:12:010506";1111;"Договор купли-продажи";"07.2012";"07.2012";1000,00;0,90;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;"Курсаковская";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6450413119
"290867001";"Земельный участок";"28:14:010326";2700;"Договор купли-продажи";"07.2011";"07.2011";320000,00;118,52;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"10228840001";"Амурская область";"Ивановский";;"Среднебелая";"Торговая";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450413125
"15900002";"Земельный участок";"28:02:000209";1022;"Договор купли-продажи";"11.2011";"12.2011";350000,00;342,47;;"Земли населенных пунктов";;;;"Ипотека";;;"10410000000";"Амурская область";;"Белогорск";;"Уссурийская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6450413129
"652772001";"Земельный участок";"28:14:000000";1500;"Договор купли-продажи";"12.2014";"12.2014";15000,00;10,00;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10228816001";"Амурская область";"Ивановский";;"Ивановка";;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6450413131
"22399104";"Земельный участок";"28:19:011126";1093;"Договор купли-продажи";"04.2012";"04.2012";358191,99;327,71;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10238803001";"Амурская область";"Октябрьский";;"Екатеринославка";;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450413138
"445053001";"Земельный участок";"28:01:010428";24;"Договор купли-продажи";"05.2012";"05.2012";296,58;12,36;;"Земли населенных пунктов";;;;"Без обременения";;;"10401000000";"Амурская область";;"Благовещенск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450413141
"18308102";"Земельный участок";"28:23:020723";1878;"Договор купли-продажи";"09.2012";"09.2012";359191,99;191,26;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10247551000";"Амурская область";"Серышевский";;"Серышево";"Школьная";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450413151
"32835211";"Земельный участок";"28:24:010601";795;"Договор купли-продажи";"02.2014";"02.2014";397894,93;500,50;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"10249808001";"Амурская область";"Сковородинский";;"Джалинда";"Новая";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450413178
"48144003";"Земельный участок";"28:11:011801";500;"Договор купли-продажи";"09.2015";"10.2015";437194,22;874,39;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10215000000";"Амурская область";"Бурейский";;;;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6450413180
"52846008";"Земельный участок";"28:15:011405";1600;"Договор купли-продажи";"02.2014";"04.2014";429408,50;268,38;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10230820001";"Амурская область";"Константиновский";;"Коврижка";"Школьная";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6450413189
