"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"64454007";"Земельный участок";"28:05:010439";1605;"Договор купли-продажи";"07.2016";"07.2016";210000,00;130,84;"1/5";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"10430000000";"Амурская область";;"Свободный";;"Круговая";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6475266553
"414008";"Земельный участок";"28:25:010718";4860;"Договор купли-продажи";"08.2016";"08.2016";433026,00;89,10;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251812001";"Амурская область";"Тамбовский";;"Козьмодемьяновка";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6475266554
"183271000";"Земельный участок";"28:25:010805";1986;"Договор купли-продажи";"08.2016";"08.2016";724626,00;364,87;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251824001";"Амурская область";"Тамбовский";;"Лазаревка";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6475266586
"64454007";"Земельный участок";"28:05:010439";1605;"Договор купли-продажи";"07.2016";"07.2016";210000,00;130,84;"1/5";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"10430000000";"Амурская область";;"Свободный";;"Круговая";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6475266610
"123349004";"Земельный участок";"28:12:010582";1472;"Договор купли-продажи";"07.2016";"08.2016";1000,00;0,68;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6475266621
"18861008";"Земельный участок";"28:25:000000";34814800;"Договор купли-продажи";"06.2016";"07.2016";1000000,00;0,03;"418,275 га";"Земли сельскохозяйственного назначения";"Для сельскохозяйственного производства";;;"Ипотека";;;"10251000000";"Амурская область";"Тамбовский";;;;;19;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6475266624
"76102001";"Земельный участок";"28:10:031002";1966;"Договор купли-продажи";"12.2008";"12.2008";770000,00;391,66;;"Земли населенных пунктов";;;;"Ипотека";;;"10211812001";"Амурская область";"Благовещенский";;"Грибское";"Ожидания";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6475266649
"64454007";"Земельный участок";"28:05:010439";1605;"Договор купли-продажи";"07.2016";"07.2016";210000,00;130,84;"1/5";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"10430000000";"Амурская область";;"Свободный";;"Круговая";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6475266672
"23276002";"Земельный участок";"28:09:020101";1000;"Договор купли-продажи";"06.2010";"06.2010";350000,00;350,00;;"Земли населенных пунктов";;;;"Ипотека";;;"10208808001";"Амурская область";"Белогорский";;"Васильевка";"Новая";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6475266676
"99494007";"Земельный участок";"28:05:010566";954;"Договор купли-продажи";"08.2016";"08.2016";475000,00;497,90;;"Земли населенных пунктов";;;;"Ипотека";;;"10430000000";"Амурская область";;"Свободный";;"Рабоче-крестьянская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6475266678
"183271000";"Земельный участок";"28:25:010805";1986;"Договор купли-продажи";"08.2016";"08.2016";724626,00;364,87;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251824001";"Амурская область";"Тамбовский";;"Лазаревка";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6475266680
"604104";"Земельный участок";"28:19:011251";1176;"Договор купли-продажи";"12.2008";"12.2008";801800,00;681,80;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"10238803001";"Амурская область";"Октябрьский";;"Екатеринославка";"Мелиораторов";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6475266686
"183271000";"Земельный участок";"28:25:010805";1986;"Договор купли-продажи";"08.2016";"08.2016";724626,00;364,87;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251824001";"Амурская область";"Тамбовский";;"Лазаревка";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6475266687
"123349004";"Земельный участок";"28:12:010582";1472;"Договор купли-продажи";"07.2016";"08.2016";1000,00;0,68;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6475266688
"26789002";"Земельный участок";"28:02:000274";623;"Договор купли-продажи";"03.2011";"03.2011";900000,00;1444,62;;"Земли населенных пунктов";;;;"Ипотека";;;"10410000000";"Амурская область";;"Белогорск";;"8 Марта";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6475266709
"52459005";"Земельный участок";"28:13:011630";1086;"Договор купли-продажи";"08.2011";"08.2011";467500,00;430,48;"1/2";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10225840001";"Амурская область";"Зейский";;"Овсянка";;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6475266712
"31502211";"Земельный участок";"28:24:010705";1665;"Договор купли-продажи";"08.2016";"08.2016";50374,00;30,25;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10249501000";"Амурская область";"Сковородинский";"Сковородино";;;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6475266716
"173699001";"Земельный участок";"28:01:010288";693;"Договор купли-продажи";"05.2011";"05.2011";900000,00;1298,70;"1/3";"Земли населенных пунктов";;;;"Без обременения";;;"10401000000";"Амурская область";;"Благовещенск";;"Пролетарская";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6475266720
"193989001";"Земельный участок";"28:01:020514";1014;"Договор купли-продажи";"08.2016";"08.2016";1600000,00;1577,91;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"10401000000";"Амурская область";;"Благовещенск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6475266738
"23049008";"Земельный участок";"28:25:010159";984;"Договор купли-продажи";"08.2016";"08.2016";2000000,00;2032,52;"1/2";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251856001";"Амурская область";"Тамбовский";;"Тамбовка";;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6475266746
"1359003";"Земельный участок";"28:11:010401";1756;"Договор купли-продажи";"08.2016";"08.2016";399779,15;227,66;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10215814001";"Амурская область";"Бурейский";;"Долдыкан";;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6475310314
"41844004";"Земельный участок";"28:12:020904";1800;"Договор купли-продажи";"08.2016";"08.2016";724626,00;402,57;"1/6";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10221844001";"Амурская область";"Завитинский";;"Успеновка";"Молодежная";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6475310323
"2759011";"Земельный участок";"28:07:010019";906;"Договор купли-продажи";"08.2016";"08.2016";364308,93;402,11;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"10440000000";"Амурская область";;"Шимановск";;"Строительная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6475310328
"41844004";"Земельный участок";"28:12:020904";1800;"Договор купли-продажи";"08.2016";"08.2016";724626,00;402,57;"1/6";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10221844001";"Амурская область";"Завитинский";;"Успеновка";"Молодежная";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6475310335
"130363003";"Земельный участок";"28:11:010820";1431;"Договор купли-продажи";"08.2016";"08.2016";709760,46;495,99;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10215557000";"Амурская область";"Бурейский";;"Бурея";"Райчихинская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6475310343
"130363003";"Земельный участок";"28:11:010820";1431;"Договор купли-продажи";"08.2016";"08.2016";709760,46;495,99;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10215557000";"Амурская область";"Бурейский";;"Бурея";"Райчихинская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6475310347
"11978204";"Земельный участок";"28:18:010120";2138;"Договор купли-продажи";"07.2016";"08.2016";453026,00;211,89;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10235842001";"Амурская область";"Михайловский";;"Поярково";"Рабочая";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6475310348
"937369001";"Земельный участок";"28:01:020800";24;"Договор купли-продажи";"06.2014";"06.2014";1554,12;64,76;;"Земли населенных пунктов";;;;"Без обременения";;;"10401000000";"Амурская область";;"Благовещенск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6475310349
"80228003";"Земельный участок";"28:11:010740";1868;"Договор купли-продажи";"08.2016";"08.2016";780000,00;417,56;;"Земли населенных пунктов";;;;"Ипотека";;;"10215551000";"Амурская область";"Бурейский";;"Новобурейский";"Луговая";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6475310351
"11978204";"Земельный участок";"28:18:010120";2138;"Договор купли-продажи";"07.2016";"08.2016";453026,00;211,89;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10235842001";"Амурская область";"Михайловский";;"Поярково";"Рабочая";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6475310373
"18668008";"Земельный участок";"28:25:000000";39789433;"Договор купли-продажи";"08.2016";"08.2016";244000,00;0,01;"128,1 га";"Земли сельскохозяйственного назначения";;;;"Ипотека";;;"10251000000";"Амурская область";"Тамбовский";;;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6475310378
"130363003";"Земельный участок";"28:11:010820";1431;"Договор купли-продажи";"08.2016";"08.2016";709760,46;495,99;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10215557000";"Амурская область";"Бурейский";;"Бурея";"Райчихинская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6475310383
"41844004";"Земельный участок";"28:12:020904";1800;"Договор купли-продажи";"08.2016";"08.2016";724626,00;402,57;"1/6";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10221844001";"Амурская область";"Завитинский";;"Успеновка";"Молодежная";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6475310389
"1359003";"Земельный участок";"28:11:010401";1756;"Договор купли-продажи";"08.2016";"08.2016";399779,15;227,66;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10215814001";"Амурская область";"Бурейский";;"Долдыкан";;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6475310398
"130363003";"Земельный участок";"28:11:010820";1431;"Договор купли-продажи";"08.2016";"08.2016";709760,46;495,99;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10215557000";"Амурская область";"Бурейский";;"Бурея";"Райчихинская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6475310400
"41844004";"Земельный участок";"28:12:020904";1800;"Договор купли-продажи";"08.2016";"08.2016";724626,00;402,57;"1/6";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10221844001";"Амурская область";"Завитинский";;"Успеновка";"Молодежная";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6475310406
"244215001";"Земельный участок";"28:10:091003";1218;"Договор купли-продажи";"03.2011";"03.2011";338860,37;278,21;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10211832001";"Амурская область";"Благовещенский";;"Новотроицкое";"Луговая";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6475310413
"1359003";"Земельный участок";"28:11:010401";1756;"Договор купли-продажи";"08.2016";"08.2016";399779,15;227,66;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10215814001";"Амурская область";"Бурейский";;"Долдыкан";;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6475310414
"394921001";"Земельный участок";"28:01:130038";45;"Договор купли-продажи";"08.2011";"08.2011";1198,96;26,64;;"Земли населенных пунктов";;;;"Без обременения";;;"10401000000";"Амурская область";;"Благовещенск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6475310420
