"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"102251002";"Земельный участок";"28:23:010703";6800;"Договор купли-продажи";"10.2010";"10.2010";307220,00;45,18;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10247000000";"Амурская область";"Серышевский";;;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450334315
"53909011";"Земельный участок";"28:07:020086";1043;"Договор купли-продажи";"08.2012";"09.2012";356844,16;342,13;;"Земли населенных пунктов";;;;"Ипотека";;;"10440000000";"Амурская область";;"Шимановск";;;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450334333
"28468004";"Земельный участок";"28:12:010236";937;"Договор купли-продажи";"06.2012";"06.2012";90000,00;96,05;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6450334340
"99660002";"Земельный участок";"28:23:020802";1597;"Договор купли-продажи";"11.2012";"12.2012";270500,00;169,38;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"10247551000";"Амурская область";"Серышевский";;"Серышево";"Шолохова";;10;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450334344
"340898001";"Земельный участок";"28:01:010338";24;"Договор купли-продажи";"01.2011";"01.2011";257,14;10,71;;"Земли населенных пунктов";;;;"Без обременения";;;"10401000000";"Амурская область";;"Благовещенск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450334352
"135137002";"Земельный участок";"28:09:010703";1600;"Договор купли-продажи";"11.2015";"11.2015";744626,00;465,39;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10410000002";"Амурская область";;"Белогорск";"Низинное";"Северный";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6450334354
"9738012";"Земельный участок";"28:04:030114";2847;"Договор купли-продажи";"04.2013";"04.2013";395540,92;138,93;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10465000000";"Амурская область";;"Прогресс";;"Тишкина";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6450334356
"438160001";"Земельный участок";"28:01:010146";24;"Договор купли-продажи";"03.2012";"03.2012";452,96;18,87;;"Земли населенных пунктов";;;;"Без обременения";;;"10401000000";"Амурская область";;"Благовещенск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450334361
"140819002";"Земельный участок";"28:23:010612";3000;"Договор купли-продажи";"10.2014";"10.2014";689494,93;229,83;"1/6";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10247000000";"Амурская область";"Серышевский";;;;;12;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450334369
"46967001";"Земельный участок";"28:14:010312";1900;"Договор купли-продажи";"03.2013";"03.2013";699600,00;368,21;"1/6";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10228840001";"Амурская область";"Ивановский";;"Среднебелая";;;12;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6450334374
"302412001";"Земельный участок";"28:14:010907";3000;"Договор купли-продажи";"01.2013";"01.2013";65000,00;21,67;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10228812001";"Амурская область";"Ивановский";;"Ерковцы";"Гагарина";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450334377
"99216007";"Земельный участок";"28:21:010801";1445;"Договор купли-продажи";"05.2012";"05.2012";375093,53;259,58;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"10242868001";"Амурская область";"Свободненский";;"Семеновка";"Почтамтская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450334380
"8021111";"Земельный участок";"28:16:015223";1190;"Договор купли-продажи";"09.2011";"09.2011";350138,42;294,23;"1/4";"Земли населенных пунктов";"Для размещения объектов, характерных для населенных пунктов";;;"Ипотека";;;"10231551000";"Амурская область";"Магдагачинский";;"Магдагачи";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6450334389
"96340007";"Земельный участок";"28:05:020246";906;"Договор купли-продажи";"08.2011";"09.2011";750000,00;827,81;;"Земли населенных пунктов";;;;"Без обременения";;;"10430000000";"Амурская область";;"Свободный";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450334391
"132395002";"Земельный участок";"28:23:020830";2813;"Договор купли-продажи";"03.2012";"04.2012";2592000,00;921,44;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10247551000";"Амурская область";"Серышевский";;"Серышево";;;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450334399
"423004";"Земельный участок";"28:12:010511";1523;"Договор купли-продажи";"02.2003";"02.2003";30000,00;19,70;;"Земли населенных пунктов";;;;"Ипотека";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6450334400
"186945001";"Земельный участок";"28:14:011656";2068;"Договор купли-продажи";"10.2012";"10.2012";1000000,00;483,56;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10228816001";"Амурская область";"Ивановский";;"Ивановка";"Первомайская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6450334405
"18329104";"Земельный участок";"28:19:011213";1160;"Договор купли-продажи";"06.2011";"07.2011";200000,00;172,41;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"10238803001";"Амурская область";"Октябрьский";;"Екатеринославка";"Северная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450334438
"16948211";"Земельный участок";"28:24:010748";1107;"Договор купли-продажи";"05.2011";"06.2011";348860,00;315,14;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10249501000";"Амурская область";"Сковородинский";"Сковородино";;"Новая";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450334443
"264862001";"Земельный участок";"28:14:010311";1900;"Договор купли-продажи";"05.2014";"05.2014";408960,50;215,24;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10228840001";"Амурская область";"Ивановский";;"Среднебелая";;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6450334453
"29096111";"Земельный участок";"28:16:012924";1312;"Договор купли-продажи";"05.2014";"05.2014";675000,00;514,48;"1/2";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10231822001";"Амурская область";"Магдагачинский";;"Тыгда";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450334465
"25255104";"Земельный участок";"28:19:011216";1511;"Договор купли-продажи";"04.2013";"04.2013";500000,00;330,91;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10238803001";"Амурская область";"Октябрьский";;"Екатеринославка";;;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450334470
"6231202";"Земельный участок";"28:20:011702";698;"Договор купли-продажи";"08.2011";"08.2011";340138,42;487,30;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10240828001";"Амурская область";"Ромненский";;"Поздеевка";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6450334473
"24085004";"Земельный участок";"28:12:010502";636;"Договор купли-продажи";"08.2008";"09.2008";700000,00;1100,63;"1/3";"Земли населенных пунктов";;;;"Без обременения";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6450334482
"45622005";"Земельный участок";"28:13:010202";3773;"Договор купли-продажи";"06.2010";"06.2010";301000,00;79,78;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"10225804001";"Амурская область";"Зейский";;"Амуро-Балтийск";"Юбилейная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450334484
"716005";"Земельный участок";"28:03:040045";894;"Договор купли-продажи";"12.2009";"12.2009";950000,00;1062,64;;"Земли населенных пунктов";;;;"Без обременения";;;"10412000000";"Амурская область";;"Зея";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6450334508
"1668005";"Земельный участок";"28:13:022406";1544;"Договор купли-продажи";"12.2009";"12.2009";374400,00;242,49;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10225852001";"Амурская область";"Зейский";;"Сосновый Бор";"Трудовая";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6450334542
"46429011";"Земельный участок";"28:07:040018";1400;"Договор купли-продажи";"04.2011";"05.2011";351640,37;251,17;"1/5";"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"10440000000";"Амурская область";;"Шимановск";;"Набережная";;10;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450334558
"276364002";"Земельный участок";"28:09:011108";2000;"Договор купли-продажи";"11.2014";"11.2014";721008,50;360,50;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"10208000000";"Амурская область";"Белогорский";;;;;10;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6450334562
"333503001";"Земельный участок";"28:01:010430";653;"Договор купли-продажи";"10.2010";"10.2010";700000,00;1071,98;;"Земли населенных пунктов";;;;"Ипотека";;;"10401000000";"Амурская область";;"Благовещенск";;"Красноармейская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450334569
"159661001";"Земельный участок";"28:01:010145";47;"Договор купли-продажи";"11.2008";"11.2008";350000,00;7446,81;;"Земли населенных пунктов";;;;"Ипотека";;;"10401000000";"Амурская область";;"Благовещенск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6450334572
"17189204";"Земельный участок";"28:18:010204";1839;"Договор купли-продажи";"04.2012";"04.2012";359191,99;195,32;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10235842001";"Амурская область";"Михайловский";;"Поярково";"Амурская";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450334573
"53011001";"Земельный участок";"28:10:021021";1132;"Договор купли-продажи";"12.2012";"12.2012";100000,00;88,34;;"Земли населенных пунктов";"Для размещения объектов, характерных для населенных пунктов";;;"Ипотека";;;"10211808001";"Амурская область";"Благовещенский";;"Волково";"Рабочий";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6450334582
"199298007";"Земельный участок";"28:05:010419";1000;"Договор купли-продажи";"04.2014";"05.2014";10000,00;10,00;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10430000000";"Амурская область";;"Свободный";;"50 лет Октября";;9;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6450334584
"339598001";"Земельный участок";"28:14:010907";2500;"Договор купли-продажи";"09.2014";"09.2014";370179,74;148,07;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10228812001";"Амурская область";"Ивановский";;"Ерковцы";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450334589
