"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"138741002";"Земельный участок";"28:09:010915";1689;"Договор купли-продажи";"08.2012";"08.2012";359191,99;212,67;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"10208814001";"Амурская область";"Белогорский";;"Возжаевка";"Амурская";;10;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450346349
"141235002";"Земельный участок";"28:02:000342";936;"Договор купли-продажи";"07.2014";"08.2014";550000,00;587,61;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10410000000";"Амурская область";;"Белогорск";;"50 лет Комсомола";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450346369
"7546008";"Земельный участок";"28:15:010709";7483;"Договор купли-продажи";"06.2014";"06.2014";1000000,00;133,64;"1/6";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10230828001";"Амурская область";"Константиновский";;"Крестовоздвиженка";;;12;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6450346378
"509413001";"Земельный участок";"28:14:011521";2400;"Договор купли-продажи";"01.2015";"02.2015";390000,00;162,50;"1/6";"Земли населенных пунктов";;;;"Ипотека";;;"10228816002";"Амурская область";"Ивановский";;"Крещеновка";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6450346386
"56664001";"Земельный участок";"28:01:020356";23;"Договор купли-продажи";"08.2004";"08.2004";7,13;0,31;;"Земли населенных пунктов";;;;"Без обременения";;;"10401000000";"Амурская область";;"Благовещенск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6450346388
"18658111";"Земельный участок";"28:16:010101";733;"Договор купли-продажи";"10.2011";"11.2011";3000,00;4,09;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"10231806001";"Амурская область";"Магдагачинский";;"Гудачи";;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450346396
"7494003";"Земельный участок";"28:11:010757";1560;"Договор купли-продажи";"12.2011";"02.2012";2000,00;1,28;;"Земли населенных пунктов";"Для размещения объектов, характерных для населенных пунктов";;;"Без обременения";;;"10215551000";"Амурская область";"Бурейский";;"Новобурейский";;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6450346400
"28388004";"Земельный участок";"28:12:010548";831;"Договор купли-продажи";"04.2010";"04.2010";320000,00;385,08;;"Земли населенных пунктов";;;;"Без обременения";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6450346403
"31536211";"Земельный участок";"28:24:010601";2000;"Договор купли-продажи";"08.2012";"08.2012";350000,00;175,00;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10249808001";"Амурская область";"Сковородинский";;"Джалинда";"Сосновская";;10;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450346404
"9326004";"Земельный участок";"28:12:010516";1611;"Договор купли-продажи";"05.2014";"05.2014";370179,74;229,78;"1/3";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6450346405
"24602008";"Земельный участок";"28:25:011506";2000;"Договор купли-продажи";"04.2015";"05.2015";613734,29;306,87;"1/6";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251836001";"Амурская область";"Тамбовский";;"Николаевка";;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6450346407
"34651008";"Земельный участок";"28:25:010135";1070;"Договор купли-продажи";"07.2011";"07.2011";680000,00;635,51;"1/2";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251856001";"Амурская область";"Тамбовский";;"Тамбовка";"Новая";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450346410
"18684211";"Земельный участок";"28:24:010601";1501;"Договор купли-продажи";"01.2013";"02.2013";100000,00;66,62;;"Земли населенных пунктов";;;;"Без обременения";;;"10249808001";"Амурская область";"Сковородинский";;"Джалинда";"Сосновская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450346416
