"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"419410001";"Земельный участок";"28:14:010604";1800;"Договор купли-продажи";"08.2012";"08.2012";301000,00;167,22;"1/8";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10228824001";"Амурская область";"Ивановский";;"Новоалексеевка";;;16;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450462140
"42980012";"Земельный участок";"28:04:010110";1203;"Договор купли-продажи";"06.2014";"06.2014";2550000,00;2119,70;;"Земли населенных пунктов";;;;"Ипотека";;;"10420000000";"Амурская область";;"Райчихинск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450462145
"35263005";"Земельный участок";"28:13:071846";916;"Договор купли-продажи";"02.2013";"03.2013";50000,00;54,59;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"10225842001";"Амурская область";"Зейский";;"Октябрьский";;;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6450462170
"10142011";"Земельный участок";"28:24:010852";643;"Договор купли-продажи";"12.2011";"12.2011";354698,40;551,63;;"Земли населенных пунктов";"Для размещения объектов, характерных для населенных пунктов";;;"Без обременения";;;"10249501000";"Амурская область";"Сковородинский";"Сковородино";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6450462184
"16062111";"Земельный участок";"28:16:015210";1335;"Договор купли-продажи";"04.2013";"04.2013";394668,67;295,63;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10231551000";"Амурская область";"Магдагачинский";;"Магдагачи";;;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450462200
"380411001";"Земельный участок";"28:01:110246";776;"Договор купли-продажи";"05.2011";"05.2011";1464120,00;1886,75;;"Земли населенных пунктов";;;;"Без обременения";;;"10401000000";"Амурская область";;"Благовещенск";"Верхнеблаговещенское";"Ленина";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450462209
"404012001";"Земельный участок";"28:01:050005";1200;"Договор купли-продажи";"05.2012";"06.2012";2800000,00;2333,33;;"Земли населенных пунктов";;;;"Ипотека";;;"10401000000";"Амурская область";;"Благовещенск";"Моховая Падь";"Горная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450462216
"24751003";"Земельный участок";"28:11:011235";1387;"Договор купли-продажи";"10.2013";"10.2013";1990700,00;1435,26;;"Земли населенных пунктов";;;;"Ипотека";;;"10215832001";"Амурская область";"Бурейский";;"Малиновка";"Комсомольская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6450462218
"5617104";"Земельный участок";"28:19:011303";3000;"Договор купли-продажи";"07.2010";"07.2010";900000,00;300,00;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10238808001";"Амурская область";"Октябрьский";;"Восточный";"Полевая";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6450462227
"125156002";"Земельный участок";"28:09:011202";1780;"Договор купли-продажи";"10.2012";"10.2012";374093,53;210,16;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10208852001";"Амурская область";"Белогорский";;"Томичи";"Садовая";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450462229
"9303211";"Земельный участок";"28:24:010873";1500;"Договор купли-продажи";"07.2011";"07.2011";1000000,00;666,67;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10249501000";"Амурская область";"Сковородинский";"Сковородино";;"Локомотивная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6450462230
"17520211";"Земельный участок";"28:24:010231";54;"Договор купли-продажи";"02.2011";"02.2011";265,29;4,91;;"Земли населенных пунктов";;;;"Без обременения";;;"10249555000";"Амурская область";"Сковородинский";;"Ерофей Павлович";;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450462234
"161713002";"Земельный участок";"28:23:021201";2900;"Договор купли-продажи";"02.2015";"02.2015";744626,00;256,77;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10247856002";"Амурская область";"Серышевский";;"Борисполь";;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6450462241
"80289008";"Земельный участок";"28:25:010194";725;"Договор купли-продажи";"06.2014";"06.2014";1260000,00;1737,93;;"Земли населенных пунктов";;;;"Ипотека";;;"10251856001";"Амурская область";"Тамбовский";;"Тамбовка";"Кооперативная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6450462277
"515695001";"Земельный участок";"28:14:011628";2153;"Договор купли-продажи";"11.2014";"11.2014";480000,00;222,94;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10228816001";"Амурская область";"Ивановский";;"Ивановка";"Партизанская";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6450462286
"182674002";"Земельный участок";"28:23:010501";5400;"Договор купли-продажи";"09.2013";"09.2013";380376,80;70,44;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10247000000";"Амурская область";"Серышевский";;;;;10;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6450462298
"40382004";"Земельный участок";"28:12:010552";1017;"Договор купли-продажи";"12.2012";"12.2012";350000,00;344,15;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450462302
"12010005";"Земельный участок";"28:13:200607";938;"Договор купли-продажи";"01.2009";"02.2009";111000,00;118,34;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"10225812001";"Амурская область";"Зейский";;"Бомнак";"Улукиткана";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6450462305
"5592007";"Земельный участок";"28:05:010628";624;"Договор купли-продажи";"05.2008";"06.2008";25000,00;40,06;;"Земли населенных пунктов";;;;"Без обременения";;;"10430000000";"Амурская область";;"Свободный";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6450462314
"82095007";"Земельный участок";"28:05:011156";620;"Договор купли-продажи";"11.2010";"11.2010";200000,00;322,58;;"Земли населенных пунктов";;;;"Ипотека";;;"10430000000";"Амурская область";;"Свободный";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450462327
"4656011";"Земельный участок";"28:07:020046";1223;"Договор купли-продажи";"03.2015";"03.2015";501000,00;409,65;"1/2";"Земли населенных пунктов";;;;"Ипотека";;;"10440000000";"Амурская область";;"Шимановск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6450462337
"43387005";"Земельный участок";"28:03:020016";711;"Договор купли-продажи";"11.2012";"12.2012";950000,00;1336,15;"1/8";"Земли населенных пунктов";;;;"Без обременения";;;"10412000000";"Амурская область";;"Зея";;;;15;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6450462338
"26050002";"Земельный участок";"28:23:020861";1354;"Договор купли-продажи";"02.2015";"02.2015";728794,22;538,25;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"10247551000";"Амурская область";"Серышевский";;"Серышево";"Украинская";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450462342
"12144103";"Земельный участок";"28:08:011142";976;"Договор купли-продажи";"07.2010";"08.2010";340000,00;348,36;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10205551000";"Амурская область";"Архаринский";;"Архара";"Восточная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6450462348
"36187004";"Земельный участок";"28:12:010502";1433;"Договор купли-продажи";"08.2011";"09.2011";80000,00;55,83;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6450462357
"6106002";"Земельный участок";"28:02:000350";979,65;"Договор купли-продажи";"09.2011";"09.2011";1145000,00;1168,78;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"10410000000";"Амурская область";;"Белогорск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6450462360
"9326004";"Земельный участок";"28:12:010516";1611;"Договор купли-продажи";"07.2008";"08.2008";1021760,00;634,24;"1/4";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;;;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6450462371
"25652005";"Земельный участок";"28:03:040031";672;"Договор купли-продажи";"01.2011";"02.2011";10000,00;14,88;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Без обременения";;;"10412000000";"Амурская область";;"Зея";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6450462379
"948523001";"Земельный участок";"28:14:011304";3200;"Договор купли-продажи";"01.2016";"01.2016";250000,00;78,13;"1/2";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10228000000";"Амурская область";"Ивановский";;;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6450462392
