"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"457214001";"Земельный участок";"28:14:010326";1900;"Договор купли-продажи";"01.2014";"01.2014";365000,00;192,11;"1/3";"Земли населенных пунктов";;;;"Ипотека";;;"10228840001";"Амурская область";"Ивановский";;"Среднебелая";"Высокая";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6450299446
"8920005";"Земельный участок";"28:03:040041";1690;"Договор купли-продажи";"06.2009";"07.2009";15000,00;8,88;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Без обременения";;;"10412000000";"Амурская область";;"Зея";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6450299450
"27708008";"Земельный участок";"28:25:011402";1217;"Договор купли-продажи";"07.2012";"07.2012";680000,00;558,75;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10251848001";"Амурская область";"Тамбовский";;"Раздольное";;;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6450299453
"9492002";"Земельный участок";"28:23:020818";389;"Договор купли-продажи";"12.2012";"01.2013";50000,00;128,53;;"Земли населенных пунктов";;;;"Без обременения";;;"10247551000";"Амурская область";"Серышевский";;"Серышево";;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6450299467
"11872002";"Земельный участок";"28:23:021714";1800;"Договор купли-продажи";"06.2012";"06.2012";658140,30;365,63;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10247848003";"Амурская область";"Серышевский";;"Бочкаревка";"Молодежная";;10;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6450299468
"42059001";"Земельный участок";"28:14:011707";2124;"Договор купли-продажи";"12.2013";"12.2013";378947,55;178,41;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10228810001";"Амурская область";"Ивановский";;"Дмитриевка";;;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6450299471
"2194004";"Земельный участок";"28:12:010507";722;"Договор купли-продажи";"06.2012";"06.2012";650000,00;900,28;"1/5";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"10221501000";"Амурская область";"Завитинский";"Завитинск";;"Мухинская";;10;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6450299476
"17497009";"Земельный участок";"28:26:031200";1548;"Договор купли-продажи";"06.2012";"06.2012";327600,00;211,63;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"10254808001";"Амурская область";"Тындинский";;"Усть-Уркима";"Матвеева";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6450299478
"26423001";"Земельный участок";"28:01:020478";570;"Договор купли-продажи";"02.2011";"03.2011";1050000,00;1842,11;"1/4";"Земли населенных пунктов";;;;"Без обременения";;;"10401000000";"Амурская область";;"Благовещенск";;"Трудовая";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6450299491
"5000002";"Земельный участок";"28:23:020101";3638,19;"Договор купли-продажи";"09.2013";"10.2013";394668,67;108,48;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"10247804002";"Амурская область";"Серышевский";;"Введеновка";"Центральная";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6450299498
