"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"11201010";"Земельный участок";"14:21:130002";3584;"Договор купли-продажи";"10.2011";"10.2011";649000,00;181,08;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98226845001";"Республика Саха (Якутия)";"Нюрбинский";;"Антоновка";"Набережная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6449158358
"67109014";"Земельный участок";"14:33:013010";359;"Договор купли-продажи";"11.2014";"12.2014";400000,00;1114,21;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98258870001";"Республика Саха (Якутия)";"Чурапчинский";;"Чурапча";"Постникова";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6449158381
"49775014";"Земельный участок";"14:33:013010";1929;"Договор купли-продажи";"05.2014";"06.2014";430000,00;222,91;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98258870001";"Республика Саха (Якутия)";"Чурапчинский";;"Чурапча";"Постникова";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6449158382
"2139030";"Земельный участок";"14:17:020001";1309;"Договор купли-продажи";"10.2012";"10.2012";1300000,00;993,12;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98233823001";"Республика Саха (Якутия)";"Момский";;"Хонуу";"им. Егора Старостина";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6449158391
"188332001";"Земельный участок";"14:36:106089";800;"Договор купли-продажи";"05.2012";"05.2012";1124,48;1,41;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;"Сергеляхское";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6449158395
"47690001";"Земельный участок";"14:36:108046";855;"Договор купли-продажи";"05.2014";"05.2014";1444827,00;1689,86;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6449158397
"21180002";"Земельный участок";"14:02:100122";820;"Договор купли-продажи";"10.2012";"11.2012";10000,00;12,20;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"98203570000";"Республика Саха (Якутия)";"Алданский";;"Нижний Куранах";"Магистральная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6449158403
"12781014";"Земельный участок";"14:33:013006";1691,17;"Договор купли-продажи";"12.2014";"12.2014";430000,00;254,26;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98258870001";"Республика Саха (Якутия)";"Чурапчинский";;"Чурапча";"Восточная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6449158420
"116537007";"Земельный участок";"14:10:020001";1046;"Договор купли-продажи";"04.2015";"04.2015";37748,00;36,09;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"98218553000";"Республика Саха (Якутия)";"Вилюйский";;"Кысыл-Сыр";"Западная";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6449158422
"5414004";"Земельный участок";"14:22:050001";24;"Договор купли-продажи";"02.2010";"02.2010";155,56;6,48;;"Земли населенных пунктов";;;;"Без обременения";;;"98239551000";"Республика Саха (Якутия)";"Оймяконский";;"Усть-Нера";"Цареградского";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6449158427
"17625010";"Земельный участок";"14:21:060002";2523;"Договор купли-продажи";"07.2013";"07.2013";408960,50;162,09;"1/6";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98226820001";"Республика Саха (Якутия)";"Нюрбинский";;"Ынахсыт";"Спиридона Петрова";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6449158435
"34614009";"Земельный участок";"14:26:012001";3044;"Договор купли-продажи";"02.2015";"02.2015";453026,00;148,83;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"98248825001";"Республика Саха (Якутия)";"Сунтарский";;"Кемпендяй";"Бакулина";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6449158451
"11201010";"Земельный участок";"14:21:130002";3584;"Договор купли-продажи";"10.2011";"10.2011";649000,00;181,08;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98226845001";"Республика Саха (Якутия)";"Нюрбинский";;"Антоновка";"Набережная";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6449158456
