"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"18802010";"Земельный участок";"14:21:160002";1300;"Договор купли-продажи";"02.2012";"02.2012";374093,53;287,76;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98226805001";"Республика Саха (Якутия)";"Нюрбинский";;"Акана";"Октябрьская";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6448724250
"284458001";"Земельный участок";"14:35:106003";1577;"Договор купли-продажи";"09.2012";"09.2012";1235,42;0,78;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"98401812001";"Республика Саха (Якутия)";;"Якутск";"Тулагино";;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6448724257
"40058002";"Земельный участок";"14:02:010135";60;"Договор купли-продажи";"09.2013";"09.2013";39,26;0,65;;"Земли населенных пунктов";;;;"Без обременения";;;"98203501000";"Республика Саха (Якутия)";"Алданский";"Алдан";;"Комарова";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6448724258
"23148012";"Земельный участок";"14:23:200001";400;"Договор купли-продажи";"06.2013";"06.2013";393239,42;983,10;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"98241880001";"Республика Саха (Якутия)";"Олекминский";;"Урицкое";"Набережная";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6448724267
"19858008";"Земельный участок";"14:07:040001";1500;"Договор купли-продажи";"01.2011";"01.2011";5096,25;3,40;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"98214812001";"Республика Саха (Якутия)";"Верхневилюйский";;"Верхневилюйск";;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6448724272
"66755014";"Земельный участок";"14:33:008001";3143;"Договор купли-продажи";"10.2015";"10.2015";400000,00;127,27;"1/5";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98258830001";"Республика Саха (Якутия)";"Чурапчинский";;"Дябыла";"К.Маркса";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6448724274
"23751020";"Земельный участок";"14:27:012001";2275,75;"Договор купли-продажи";"06.2014";"06.2014";429408,50;188,69;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98204835001";"Республика Саха (Якутия)";"Таттинский";;"Черкех";"Н.Ф.Борисова";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6448724283
"17896005";"Земельный участок";"14:25:020001";1085;"Договор купли-продажи";"10.2013";"11.2013";750000,00;691,24;"1/5";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"98246501000";"Республика Саха (Якутия)";"Среднеколымский";"Среднеколымск";;"Радистов";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6448724319
"3406301";"Земельный участок";"14:36:107031";600;"Договор купли-продажи";"01.2012";"02.2012";989280,00;1648,80;"1/6";"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";0;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;"Крупской";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6448724357
"519521";"Земельный участок";"14:32:070101";1183;"Договор купли-продажи";"03.2006";"03.2006";922,37;0,78;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"98244825001";"Республика Саха (Якутия)";"Хангаласский";;"Улахан-Ан";"Ст.Ефремова";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6448724362
