"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"32777002";"Земельный участок";"14:02:010706";439;"Договор купли-продажи";"09.2012";"10.2012";10000,00;22,78;"1/4";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"98203501000";"Республика Саха (Якутия)";"Алданский";"Алдан";;"Эвенкийская";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6449263021
"615899001";"Земельный участок";"14:36:106054";414;"Договор купли-продажи";"11.2013";"11.2013";415,86;1,00;;"Земли населенных пунктов";;;;"Без обременения";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;"Лонгинова";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6449263054
"3827010";"Земельный участок";"14:21:110002";683;"Договор купли-продажи";"08.2011";"09.2011";338860,37;496,14;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"98409000000";"Республика Саха (Якутия)";"Нюрбинский";"Нюрба";;"Калинина";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6449263073
"67185015";"Земельный участок";"14:29:160001";1495;"Договор купли-продажи";"11.2014";"11.2014";4479,61;3,00;;"Земли населенных пунктов";;;;"Без обременения";;;"98252870003";"Республика Саха (Якутия)";"Усть-Алданский";;"Хоногор";"Ф.Васильева";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6449263090
"18907024";"Земельный участок";"14:11:020002";1200;"Договор купли-продажи";"05.2011";"05.2011";72996,00;60,83;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"98220810001";"Республика Саха (Якутия)";"Горный";;"Бердигестях";"Дорожная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6449263100
"26133024";"Земельный участок";"14:11:020001";1727;"Договор купли-продажи";"11.2012";"11.2012";500000,00;289,52;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98220810001";"Республика Саха (Якутия)";"Горный";;"Бердигестях";"Н.Прохорова";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6449263110
"32103015";"Земельный участок";"14:29:020001";2198;"Договор купли-продажи";"07.2014";"07.2014";430000,00;195,63;"1/4";"Земли населенных пунктов";;;;"Ипотека";;;"98252810001";"Республика Саха (Якутия)";"Усть-Алданский";;"Танда";"В.Д.Лонгинова";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6449263112
"12669801";"Земельный участок";"14:35:111001";900;"Договор купли-продажи";"08.2014";"09.2014";1050000,00;1166,67;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6449263121
"327627001";"Земельный участок";"14:36:104029";1204;"Договор купли-продажи";"04.2013";"04.2013";5428,22;4,51;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;"Три сосны";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6449263131
"18819014";"Земельный участок";"14:33:003001";1619,85;"Договор купли-продажи";"04.2011";"04.2011";350000,00;216,07;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98258815001";"Республика Саха (Якутия)";"Чурапчинский";;"Мындагай";"Лесная";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6449263148
"19040011";"Земельный участок";"14:14:050088";716;"Договор купли-продажи";"10.2008";"10.2008";376,02;0,53;;"Земли населенных пунктов";;;;"Без обременения";;;"98227501000";"Республика Саха (Якутия)";"Ленский";"Ленск";;"50 лет Якутии";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6449263172
"3700012";"Земельный участок";"14:23:010002";674;"Договор купли-продажи";"04.2011";"04.2011";1300000,00;1928,78;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"98241501000";"Республика Саха (Якутия)";"Олекминский";"Олекминск";;"Барамыгина";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6449263175
"16110014";"Земельный участок";"14:33:017001";2913;"Договор купли-продажи";"06.2013";"06.2013";300000,00;102,99;"1/4";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98258860001";"Республика Саха (Якутия)";"Чурапчинский";;"Диринг";"Партизанская";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6449263189
"2848301";"Земельный участок";"14:36:107055";400;"Договор купли-продажи";"03.2012";"03.2012";850000,00;2125,00;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";0;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;"Хоринский";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1998";"Не указан";"Не указан";"Сделка";6449263203
"70015021";"Земельный участок";"14:32:100102";1000;"Договор купли-продажи";"11.2013";"11.2013";580,00;0,58;;"Земли населенных пунктов";;;;"Без обременения";;;"98244847002";"Республика Саха (Якутия)";"Хангаласский";;"Карапатское";;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6449263214
"9042013";"Земельный участок";"14:15:150005";1654;"Договор купли-продажи";"04.2015";"04.2015";435610,00;263,37;"1/5";"Земли населенных пунктов";;;;"Ипотека";;;"98229815001";"Республика Саха (Якутия)";"Мегино-Кангаласский";;"Майя";"Лесная";;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6449263215
"844005";"Земельный участок";"14:25:020002";407;"Договор купли-продажи";"02.2010";"02.2010";1245,62;3,06;;"Земли населенных пунктов";;;;"Без обременения";;;"98246501000";"Республика Саха (Якутия)";"Среднеколымский";"Среднеколымск";;"Николаева";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6449263248
"2909001";"Земельный участок";"14:36:102062";665;"Договор купли-продажи";"08.2013";"08.2013";521426,50;784,10;"1/5";"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";0;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;;;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1998";"Не указан";"Не указан";"Сделка";6449263282
