"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"28914007";"Земельный участок";"14:10:010004";1260;"Договор купли-продажи";"08.2012";"08.2012";950000,00;753,97;;"Земли населенных пунктов";;;;"Без обременения";;;"98218501000";"Республика Саха (Якутия)";"Вилюйский";"Вилюйск";;"Ленина";;4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6449316033
"37460013";"Земельный участок";"14:15:130007";497;"Договор купли-продажи";"10.2010";"10.2010";159,17;0,32;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"98229555000";"Республика Саха (Якутия)";"Мегино-Кангаласский";;"Нижний Бестях";"Этус";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6449316037
"25521014";"Земельный участок";"14:33:013008";1500;"Договор купли-продажи";"08.2011";"08.2011";899,00;0,60;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"98258870001";"Республика Саха (Якутия)";"Чурапчинский";;"Чурапча";"Молодежная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6449316038
"262112001";"Земельный участок";"14:36:102081";800;"Договор купли-продажи";"04.2012";"04.2012";1039,56;1,30;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Без обременения";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6449316048
"23852010";"Земельный участок";"14:21:160002";1500;"Договор купли-продажи";"04.2010";"04.2010";47865,00;31,91;"1/3";"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98226860001";"Республика Саха (Якутия)";"Нюрбинский";;"Мар";;;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6449316053
"6868004";"Земельный участок";"14:22:130001";1200;"Договор купли-продажи";"10.2013";"12.2013";408960,50;340,80;"1/5";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"98239000000";"Республика Саха (Якутия)";"Оймяконский";;;;;5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6449316065
"3785012";"Земельный участок";"14:23:010001";1062;"Договор купли-продажи";"04.2013";"04.2013";409000,00;385,12;"1/3";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"98241501000";"Республика Саха (Якутия)";"Олекминский";"Олекминск";;"Скочинского";;6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6449316071
"42208021";"Земельный участок";"14:32:170102";65;"Договор купли-продажи";"08.2014";"08.2014";2908,68;44,75;;"Земли населенных пунктов";;;;"Без обременения";;;"98420000000";"Республика Саха (Якутия)";"Хангаласский";"Покровск";;"Лукина";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6449316075
"8919021";"Земельный участок";"14:32:120101";1510;"Договор купли-продажи";"07.2010";"08.2010";637500,00;422,19;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98244835001";"Республика Саха (Якутия)";"Хангаласский";;"Ой";"Ленина";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6449316077
"29552031";"Земельный участок";"14:04:012002";2747;"Договор купли-продажи";"01.2015";"02.2015";419799,15;152,82;"1/3";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"98208870001";"Республика Саха (Якутия)";"Амгинский";;"Чакыр 2-й";"Лесная";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6449316119
"8919021";"Земельный участок";"14:32:120101";1510;"Договор купли-продажи";"07.2010";"08.2010";637500,00;422,19;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Ипотека";;;"98244835001";"Республика Саха (Якутия)";"Хангаласский";;"Ой";"Ленина";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6449316122
"91231001";"Земельный участок";"14:35:213001";699416;"Договор купли-продажи";"03.2008";"01.2009";281203,52;0,40;;"Земли сельскохозяйственного назначения";"Для сельскохозяйственного производства";;;"Ипотека";;;"98401000000";"Республика Саха (Якутия)";;"Якутск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6449316145
